Time_ms,Reference Speed,Ambient Temperature
5000,49.123,22.553
5250,51.229,22.598
5500,53.373,22.642
5750,55.568,22.685
6000,57.821,22.727
6250,60.141,22.768
6500,62.533,22.807
6750,65.000,22.845
7000,67.544,22.882
7250,70.163,22.917
7500,72.853,22.951
7750,75.608,22.984
8000,78.422,23.015
8250,81.372,23.044
8500,84.182,23.072
8750,86.677,23.099
9000,88.702,23.124
9250,90.136,23.148
9500,90.897,23.169
9750,90.948,23.190
10000,90.303,23.208
10250,89.017,23.225
10500,87.189,23.240
10750,84.954,23.254
11000,82.470,23.266
11250,79.911,23.276
11500,77.452,23.284
11750,75.259,23.291
12000,73.476,23.295
12250,72.219,23.299
12500,71.562,23.300
12750,71.539,23.300
13000,72.137,23.297
13250,73.302,23.293
13500,74.937,23.288
13750,76.915,23.280
14000,79.084,23.271
14250,81.281,23.260
14500,83.342,23.248
14750,85.112,23.233
15000,86.461,23.217
15250,87.287,23.200
15500,87.526,23.180
15750,87.160,23.159
16000,86.212,23.137
16250,84.749,23.113
16500,82.874,23.087
16750,80.724,23.059
17000,78.455,23.031
17250,76.232,23.000
17500,74.222,22.968
17750,72.577,22.935
18000,71.424,22.901
18250,70.859,22.865
18500,70.936,22.827
18750,71.666,22.789
19000,73.014,22.749
19250,74.901,22.708
19500,77.209,22.665
19750,79.791,22.622
20000,82.477,22.577
20250,82.498,22.532
20500,82.444,22.485
20750,82.314,22.438
21000,82.114,22.389
21250,81.850,22.340
21500,81.529,22.290
21750,81.161,22.239
22000,80.758,22.187
22250,80.331,22.135
22500,79.895,22.082
22750,79.462,22.028
23000,79.045,21.974
23250,78.657,21.920
23500,78.311,21.865
23750,78.015,21.810
24000,77.781,21.754
24250,77.614,21.698
24500,77.521,21.642
24750,77.503,21.586
25000,77.561,21.530
25250,77.694,21.474
25500,77.897,21.417
25750,78.164,21.361
26000,78.488,21.305
26250,78.858,21.249
26500,79.262,21.194
26750,79.689,21.139
27000,80.126,21.084
27250,80.559,21.029
27500,80.975,20.975
27750,81.361,20.922
28000,81.705,20.869
28250,81.997,20.816
28500,82.229,20.765
28750,82.392,20.714
29000,82.482,20.663
29250,82.496,20.614
29500,82.434,20.565
29750,82.298,20.518
30000,82.092,20.471
30250,81.821,20.426
30500,81.495,20.381
30750,81.124,20.337
31000,80.718,20.295
31250,80.290,20.254
31500,79.853,20.214
31750,79.421,20.175
32000,79.006,20.138
32250,77.468,20.102
32500,75.972,20.067
32750,74.529,20.034
33000,73.147,20.002
33250,71.833,19.971
33500,70.593,19.942
33750,69.428,19.915
34000,68.340,19.889
34250,67.326,19.865
34500,66.381,19.842
34750,65.501,19.821
35000,64.675,19.801
35250,63.895,19.784
35500,63.149,19.768
35750,62.423,19.753
36000,61.706,19.740
36250,60.984,19.729
36500,60.244,19.720
36750,59.473,19.713
37000,58.658,19.707
37250,57.791,19.703
37500,56.863,19.701
37750,55.865,19.700
38000,54.794,19.701
38250,53.647,19.704
38500,52.424,19.709
38750,51.127,19.716
39000,49.761,19.724
39250,48.331,19.734
39500,46.846,19.745
39750,45.317,19.759
40000,43.754,19.774
40250,42.171,19.791
40500,40.580,19.809
40750,38.995,19.829
41000,37.429,19.851
41250,35.895,19.874
41500,34.403,19.899
41750,32.965,19.926
42000,31.590,19.954
42250,30.283,19.983
42500,29.050,20.015
42750,27.893,20.047
43000,26.812,20.081
43250,25.804,20.116
43500,24.867,20.153
43750,23.992,20.191
44000,23.171,20.230
44250,22.395,20.271
44500,21.651,20.312
44750,20.927,20.355
45000,20.210,20.399
45250,19.926,20.444
45500,19.623,20.490
45750,19.287,20.537
46000,18.908,20.585
46250,18.475,20.634
46500,17.980,20.684
46750,17.415,20.734
47000,16.776,20.786
47250,16.062,20.837
47500,15.271,20.890
47750,14.407,20.943
48000,13.473,20.997
48250,12.477,21.051
48500,11.427,21.106
48750,10.334,21.161
49000,9.208,21.216
49250,8.063,21.272
49500,6.912,21.328
49750,5.768,21.384
50000,4.644,21.440
50250,3.553,21.497
50500,2.505,21.553
50750,1.513,21.609
51000,0.583,21.665
51250,0.000,21.721
51500,0.000,21.777
51750,0.000,21.832
52000,0.000,21.887
52250,0.000,21.942
52500,0.000,21.996
52750,0.000,22.050
53000,0.000,22.103
53250,0.000,22.156
53500,0.000,22.208
53750,0.000,22.259
54000,0.252,22.310
54250,0.681,22.360
54500,1.089,22.409
54750,1.465,22.457
55000,1.795,22.504
